benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_AX/storeinv/storeinv_t2_np_sf_ai_00001_001.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t3_np_nf_ai_00008_007.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t3_np_nf_ai_00005_008.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t2_np_nf_ai_00007_005.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t3_np_sf_ai_00006_001.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t3_np_sf_ai_00010_007.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_nf_ai_00004_006.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t1_np_nf_ai_00010_004.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t2_np_sf_ai_00009_002.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_sf_ai_00007_007.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t2_np_sf_ai_00040_009.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t3_np_sf_ai_00030_002.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t3_np_nf_ai_00010_003.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t3_np_nf_ai_00020_004.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00008_006.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t3_np_nf_ai_00010_006.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_nf_ai_00004_009.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_sf_ai_00007_004.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00004_002.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_nf_ai_00009_002.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t3_np_nf_ai_00060_009.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t3_np_nf_ai_00004_001.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t1_np_nf_ai_00050_006.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t2_np_sf_ai_00020_005.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_sf_ai_00006_009.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t3_np_sf_ai_00003_007.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t2_np_sf_ai_00060_009.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00008_004.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00005_001.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t2_np_sf_ai_00030_001.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t3_np_nf_ai_00020_003.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storeinv/storeinv_invalid_t3_np_nf_ai_00006_001.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00003_005.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storeinv/storeinv_t1_np_nf_ai_00002_001.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t2_np_sf_ai_00060_001.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_nf_ai_00006_006.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t3_np_sf_ai_00005_008.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t3_np_nf_ai_00010_003.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00008_003.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t3_np_sf_ai_00006_005.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t3_np_nf_ai_00040_002.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storeinv/storeinv_invalid_t3_np_sf_ai_00003_001.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t1_np_sf_ai_00060_004.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t3_np_sf_ai_00020_003.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_sf_ai_00010_007.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t2_np_nf_ai_00009_007.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t3_np_sf_ai_00005_002.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t3_np_sf_ai_00006_004.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t2_np_sf_ai_00010_005.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t3_np_sf_ai_00040_007.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00003_004.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storeinv/storeinv_invalid_t1_np_sf_ai_00005_001.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t3_np_nf_ai_00060_008.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_nf_ai_00003_006.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_sf_ai_00003_008.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t2_np_nf_ai_00010_005.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t1_np_nf_ai_00020_007.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t1_np_sf_ai_00060_003.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_sf_ai_00005_003.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t1_np_sf_ai_00030_002.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t3_np_sf_ai_00010_008.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t2_np_sf_ai_00003_006.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_nf_ai_00002_003.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t1_np_nf_ai_00040_004.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t3_np_nf_ai_00005_001.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storeinv/storeinv_t2_np_nf_ai_00001_001.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t3_np_nf_ai_00004_001.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t1_np_sf_ai_00030_003.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00004_006.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t3_np_nf_ai_00004_004.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t3_np_nf_ai_00004_004.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_nf_ai_00005_005.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_sf_ai_00009_007.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t1_np_nf_ai_00020_008.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t2_np_sf_ai_00007_001.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_sf_ai_00005_004.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t3_np_sf_ai_00002_005.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_invalid_t3_np_nf_ai_00060_001.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t3_np_nf_ai_00020_008.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00004_005.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_nf_ai_00006_005.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_sf_ai_00003_001.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_sf_ai_00005_006.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_sf_ai_00009_009.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t1_np_nf_ai_00040_001.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t2_np_sf_ai_00004_005.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t2_np_nf_ai_00003_004.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t3_np_nf_ai_00007_001.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_sf_ai_00008_005.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t2_np_nf_ai_00020_002.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t3_np_sf_ai_00007_003.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_sf_ai_00009_004.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storeinv/storeinv_invalid_t1_np_sf_ai_00010_001.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t3_np_nf_ai_00007_006.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t3_np_sf_ai_00010_009.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00006_009.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t2_np_sf_ai_00007_005.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_sf_ai_00008_002.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storeinv/storeinv_invalid_t1_np_sf_ai_00008_001.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t2_np_sf_ai_00040_002.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_sf_ai_00006_007.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storeinv/storeinv_invalid_t3_np_sf_ai_00004_001.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_t1_np_sf_ai_00005_009.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/swap/swap_invalid_t1_np_nf_ai_00009_002.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t2_np_nf_ai_00040_007.cvc.smt2,Yices (2018),0.0
/data/SMT-LIB-non-incremental/QF_AX/storecomm/storecomm_t3_np_sf_ai_00020_001.cvc.smt2,Yices,0.0
